Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Turkiye,TUR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,34609.91551
Turkmenistan,TKM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,17866.40418
Turks and Caicos Islands,TCA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22305.65927
Tuvalu,TUV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5812.39329
Uganda,UGA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2791.055769
Ukraine,UKR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15885.22559
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,68577.54057
United Kingdom,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54542.01691
United States,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,74577.50654
Upper middle income,UMC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,20620.34977
Uruguay,URY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,31019.31139
Uzbekistan,UZB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10007.6855
Vanuatu,VUT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3118.396033
"Venezuela, RB",VEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Vietnam,VNM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13491.87942
Virgin Islands (U.S.),VIR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
West Bank and Gaza,PSE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5313.097903
World,WLD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,20670.94106
"Yemen, Rep.",YEM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Zambia,ZMB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3673.484197
Zimbabwe,ZWE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3442.251327
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2024,,,,
